No.,Camera,Object,ImType,GroupID,State Name,Target,LST,UT,RA,DEC,AIRMASS,Exptime,Binning,Ampmode,CCD Speed,CCD Mode,Grating,Filter,Central wave,NS mask,IFU,Rot Mode,Sky PA
kb231013_00001.fits,BLUE,TEST,DARK,2023-10-13-1,undefined,,15:58:33,0:55:06,0:00:00,+00:00:00.0,13.37,0,"2,2",TUP,0,0,BM,None,4499.989746,Open,FPCam,stationary,0
kb231013_00002.fits,BLUE,bfocus,FOCUS,2023-10-13-2,kcwi_focus,unknown,16:17:31,1:14:01,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00003.fits,BLUE,bfocus,FOCUS,2023-10-13-3,kcwi_focus,unknown,16:18:55,1:15:25,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00004.fits,BLUE,bfocus,FOCUS,2023-10-13-4,kcwi_focus,unknown,16:20:16,1:16:46,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00005.fits,BLUE,bfocus,FOCUS,2023-10-13-5,kcwi_focus,unknown,16:21:38,1:18:07,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00006.fits,BLUE,bfocus,FOCUS,2023-10-13-6,kcwi_focus,unknown,16:23:02,1:19:31,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00007.fits,BLUE,bfocus,FOCUS,2023-10-13-7,kcwi_focus,unknown,16:24:26,1:20:54,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00008.fits,BLUE,bfocus,FOCUS,2023-10-13-8,kcwi_focus,unknown,16:25:50,1:22:19,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00009.fits,BLUE,bfocus,FOCUS,2023-10-13-9,kcwi_focus,unknown,16:27:17,1:23:46,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00010.fits,BLUE,bfocus,FOCUS,2023-10-13-10,kcwi_focus,unknown,16:28:44,1:25:12,4:16:00,+45:00:00.0,1.41,1.5,"2,2",TBO,1,1,BM,KBlue,4499.989746,Open,Medium,stationary,0
kb231013_00011.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:08:03,2:04:25,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00012.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:09:02,2:05:24,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00013.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:10:01,2:06:22,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00014.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:11:00,2:07:21,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00015.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:11:59,2:08:20,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00016.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:12:57,2:09:18,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00017.fits,BLUE,BIAS/Dark/0.0 sec.,BIAS,2023-10-13-11,Shared Bias,unknown,17:13:57,2:10:18,4:16:00,+45:00:00.0,1.41,0,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00030.fits,BLUE,CONT/MedBarsA/0.7 sec.,CONTBARS,2023-10-13-30,M_BL4500_RL7800,unknown,17:35:15,2:31:33,4:16:00,+45:00:00.0,1.41,0.7,"2,2",ALL,1,1,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00031.fits,BLUE,FEAR/FlatA/10.0 sec.,ARCLAMP,2023-10-13-31,M_BL4500_RL7800,unknown,17:37:31,2:33:48,4:16:00,+45:00:00.0,1.41,10,"2,2",ALL,1,1,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00032.fits,BLUE,THAR/FlatA/20.0 sec.,ARCLAMP,2023-10-13-32,M_BL4500_RL7800,unknown,17:39:20,2:35:36,4:16:00,+45:00:00.0,1.41,20,"2,2",ALL,1,1,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00033.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:40:47,2:37:03,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00034.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:41:47,2:38:03,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00035.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:42:47,2:39:03,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00036.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:43:48,2:40:04,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00037.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:44:48,2:41:04,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00038.fits,BLUE,CONT/FlatA/1.4 sec.,FLATLAMP,2023-10-13-33,M_BL4500_RL7800,unknown,17:45:48,2:42:04,4:16:00,+45:00:00.0,1.41,1.4,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00039.fits,BLUE,DOME/Dark/24.0 sec.,DOMEFLAT,2023-10-13-39,M_BL4500_RL7800,unknown,17:48:32,2:44:47,4:16:00,+45:00:00.0,1.41,24,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00040.fits,BLUE,DOME/Dark/24.0 sec.,DOMEFLAT,2023-10-13-39,M_BL4500_RL7800,unknown,17:49:55,2:46:10,4:16:00,+45:00:00.0,1.41,24,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00041.fits,BLUE,DOME/Dark/24.0 sec.,DOMEFLAT,2023-10-13-39,M_BL4500_RL7800,unknown,17:51:19,2:47:33,4:16:00,+45:00:00.0,1.41,24,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,stationary,0
kb231013_00042.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-42,M_BL4500_RL7800,bd_28d4211,19:27:39,4:23:37,18:00:00,+40:00:00.0,1.55,5,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00043.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-43,M_BL4500_RL7800,bd_28d4211,19:28:55,4:24:54,18:00:00,+40:00:00.0,1.55,10,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00044.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-44,M_BL4500_RL7800,bd_28d4211,19:30:17,4:26:16,18:00:00,+40:00:00.0,1.55,15,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00045.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-45,M_BL4500_RL7800,bd_28d4211,19:31:44,4:27:42,18:00:00,+40:00:00.0,1.55,20,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00046.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-46,M_BL4500_RL7800,bd_28d4211,19:33:22,4:29:20,18:00:00,+40:00:00.0,1.55,30,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00047.fits,BLUE,twilight flat,TWIFLAT,2023-10-13-46,M_BL4500_RL7800,bd_28d4211,19:34:49,4:30:47,18:00:00,+40:00:00.0,1.55,30,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00057.fits,BLUE,bd_28d4211,OBJECT,2023-10-13-57,M_BL4500_RL7800,bd_28d4211,20:06:55,5:02:48,21:51:11,+28:51:50.4,1.11,3,"2,2",TUP,0,0,BL,KBlue,4498.475586,Open,Medium,position angle,0
kb231013_00058.fits,BLUE,bd_28d4211,OBJECT,2023-10-13-58,M_BL4500_RL7800,bd_28d4211,20:07:59,5:03:51,21:51:11,+28:51:50.4,1.11,3,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
kb231013_00059.fits,BLUE,bd_28d4211,OBJECT,2023-10-13-59,M_BL4500_RL7800,bd_28d4211,20:08:59,5:04:51,21:51:11,+28:51:50.4,1.1,3,"2,2",TUP,0,0,BL,KBlue,4499.902832,Open,Medium,position angle,0
