line,air,vacuum
HeI,3705.040,3706.094
[OII],3726.03,3727.09
[OII],3728.82,3729.88
H12,3750.15,3751.22
H11,3770.63,3771.70
HeI,3784.690,3785.765
H10,3797.90,3798.98
HeI,3819.610,3820.694
H9,3835.39,3836.48
[NeIII],3868.71,3869.81
H8+HeI,3888.85,3889.95
[NeIII],3967.41,3968.53
H-eps,3970.07,3971.19
[SII],4068.60,4069.75
[SII],4076.35,4077.50
H-delta,4101.73,4102.87
H-gamma,4340.46,4341.67
[OIII],4363.209,4364.435
HeI,4387.930,4389.163
HeI,4471.090,4472.345
HeII,4685.700,4687.012
[ArIV],4711.370,4712.688
[ArIV],4740.160,4741.486
H-beta,4861.363,4862.721
HeI,4921.930,4923.304
[OIII],4958.911,4960.295
[OIII],5006.843,5008.239
HeI,5015.680,5017.079
[NI],5199.080,5200.528
[OI],5577.3387,5578.8874
[NII],5754.64,5756.24
HeI,5875.640,5877.269
[OI],6300.30,6302.04
[SIII],6312.1,6313.8
SiII,6347.110,6348.865
[OI],6363.780,6365.539
SiII,6371.360,6373.121
[NII],6548.05,6549.86
H-alpha,6562.801,6564.614
[NII],6583.45,6585.27
HeI,6678.150,6679.994
[SII],6716.44,6718.29
[SII],6730.82,6732.68
OI,7002.230,7004.161
HeI,7065.280,7067.228
[ArIII],7135.78,7137.75
[ArIII],7751.1,7753.2
HeI,7281.350,7283.357
[OII],7319.670,7321.687
[OII],7330.200,7332.220
[SIII],9068.6,9071.1
[SIII],9530.6,9533.2
CaT,8498,8500.33497015
CaT,8542,8544.34686917
CaT,8662,8664.37932621
MgI,8806.7,8809.11847364
Pa11,8862.783,8865.217
Pa10,9014.910,9017.385
Pa9,9229.014,9231.547
Pa8,9545.972,9548.590
Pa7,10049.373,10052.128
Pa6,10938.095,10941.091
Pa5,12818.08,12821.59
Pa4,18751.01,18756.1
Brg,21655.29,21661.20
